Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
Ramsgate,US,15888,16,38.229.70.61,torproxy09.teamcymru.net,443,8080,0,0,1,1,1,1,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
RanaHossain,GB,7,1,80.2.74.4,cpc1-seac19-2-0-cust515.7-2.cable.virginmedia.com,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows 7 Service Pack 1 [domain controller],0,0
RandomAussieBoi,AU,1,0,118.210.132.78,ppp118-210-132-78.lns20.adl6.internode.on.net,446,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows 7 Service Pack 1 [workstation],0,0
randomdatanet,RO,23,8,109.163.225.183,tor-exit-readme.random-data.net,443,None,0,1,1,0,1,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
randomnoize,RU,2176,1,176.53.232.37,176.53.232.37,443,80,0,0,1,0,1,1,1,1,1,Tor 0.2.3.18-rc on Linux,0,0
randuin,US,5,2,66.235.50.18,c-66-235-50-18.sea.wa.customer.broadstripe.net,443,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Rarity,RU,20,146,79.172.18.18,79.172.18.18.ural.ru,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
raskin,DE,10472,3,74.120.15.150,raskin.torservers.net,443,993,0,1,1,1,1,1,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
ratatouille,US,103,86,205.168.84.133,205.168.84.133,9001,None,0,1,1,1,1,1,1,1,0,Tor 0.2.2.34-dev (git-5fed1ccd901d4751) on Linux i686,0,0
rath,US,96,129,69.162.138.144,rath.leptoquark.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
rathergonaked,DE,228,0,93.222.231.9,p5DDEE709.dip.t-dialin.net,9002,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.37 (git-e57e8eb4c56348eb) on Linux i686,0,0
rationalist,DE,476,13,87.106.249.248,87.106.249.248,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
raumquantenmotor,AT,53,11,78.41.115.221,78.41.115.221,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
Raven,CA,8,0,24.108.26.243,S0106005004380980.gv.shawcable.net,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
rawrdurp,BG,633,57,87.121.6.13,87.121.6.13.neterra.net,80,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on FreeBSD amd64,0,0
RaysTorServer,DE,50,166,84.38.64.114,84.38.64.114,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.31 (git-8435cd95d2acc0c2) on Linux i686,0,0
RazorsEdge,US,56,27,209.250.2.254,tor-proxy.razorsedge.org,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
raztor,DE,1429,18,46.4.88.84,tor-exit.raznet.co.uk,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
RDSouter,RO,33,0,188.27.168.224,188-27-168-224.rdsnet.ro,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux armv5tel,0,0
reallay,DE,472,26,78.46.94.141,static.141.94.46.78.clients.your-server.de,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
reardencode,US,39,15,206.125.169.162,hank.reardencode.com,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.36 (git-c1414cf70cbfcbb7) on FreeBSD amd64,0,0
rebellion,CH,0,14,195.202.203.246,195-202-203-246.dynamic.hispeed.ch,9001,None,0,0,0,0,1,1,1,1,0,Tor 0.2.3.17-beta on Linux,0,0
rebelneutron,CH,5,15,83.228.157.223,dyn.83-228-157-223.dsl.vtx.ch,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.2.36 (git-aefee9cbdbd32f67) on Linux x86_64,0,0
ReclaimTheTubes,AT,4811,49,212.232.24.57,tor-exit.amd.co.at,58041,58561,0,1,1,1,1,1,1,1,1,Tor 0.2.3.13-alpha (git-e783afd37ecddc1b) on Linux x86_64,0,0
RedDragon,US,3896,16,38.229.70.51,torproxy04.teamcymru.net,443,8080,0,0,1,1,1,1,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
RedempTOR,CZ,297,6,213.220.233.12,ip-213-220-233-12.net.upcbroadband.cz,9001,None,0,1,1,1,0,1,1,1,0,Tor 0.2.3.17-beta on Linux,0,0
RedLantern,RU,1630,25,193.106.172.85,193.106.172.85,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.15-alpha (git-2513a3e959b61612) on Linux x86_64,0,0
RedNet,RU,8,0,85.141.155.188,ppp85-141-155-188.pppoe.mtu-net.ru,9001,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on FreeBSD i386,0,0
RedTriangleTC01,RU,87,10,109.68.191.133,harris.redtriangletc.net,2200,2201,0,0,1,0,1,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux i686,0,0
RedTriangleTC02,US,9,0,66.85.131.69,bakunin.redtriangletc.net,2200,2201,0,0,1,0,1,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux i686,0,0
